,Suburb,Address,Rooms,Type,Price,Method,SellerG,Date,Distance,Postcode,Bedroom2,Bathroom,Car,Landsize,BuildingArea,YearBuilt,CouncilArea,Lattitude,Longtitude,Regionname,Propertycount,Car_grouped,Rooms_grouped,zipcode,count,mean,std,min,max,median,mad
0,Abbotsford,85 Turner St,2,h,1480000.0,S,Biggin,3/12/2016,2.5,3067.0,2.0,1.0,1.0,202.0,,1969.0,Yarra,-37.7996,144.9984,Northern Metropolitan,4019.0,1.0,2,3067.0,258,130.62403100775194,115.26748676824155,28,900,100.0,67.14596478577008
1,Abbotsford,25 Bloomburg St,2,h,1035000.0,S,Biggin,4/02/2016,2.5,3067.0,2.0,1.0,0.0,156.0,79.0,1900.0,Yarra,-37.8079,144.9934,Northern Metropolitan,4019.0,0.0,2,3067.0,258,130.62403100775194,115.26748676824155,28,900,100.0,67.14596478577008
2,Abbotsford,5 Charles St,3,h,1465000.0,SP,Biggin,4/03/2017,2.5,3067.0,3.0,2.0,0.0,134.0,150.0,1900.0,Yarra,-37.8093,144.9944,Northern Metropolitan,4019.0,0.0,3,3067.0,258,130.62403100775194,115.26748676824155,28,900,100.0,67.14596478577008
3,Abbotsford,40 Federation La,3,h,850000.0,PI,Biggin,4/03/2017,2.5,3067.0,3.0,2.0,1.0,94.0,,1969.0,Yarra,-37.7969,144.9969,Northern Metropolitan,4019.0,1.0,3,3067.0,258,130.62403100775194,115.26748676824155,28,900,100.0,67.14596478577008
4,Abbotsford,55a Park St,4,h,1600000.0,VB,Nelson,4/06/2016,2.5,3067.0,3.0,1.0,2.0,120.0,142.0,2014.0,Yarra,-37.8072,144.9941,Northern Metropolitan,4019.0,2.0,4,3067.0,258,130.62403100775194,115.26748676824155,28,900,100.0,67.14596478577008
5,Abbotsford,129 Charles St,2,h,941000.0,S,Jellis,7/05/2016,2.5,3067.0,2.0,1.0,0.0,181.0,,1969.0,Yarra,-37.8041,144.9953,Northern Metropolitan,4019.0,0.0,2,3067.0,258,130.62403100775194,115.26748676824155,28,900,100.0,67.14596478577008
6,Abbotsford,124 Yarra St,3,h,1876000.0,S,Nelson,7/05/2016,2.5,3067.0,4.0,2.0,0.0,245.0,210.0,1910.0,Yarra,-37.8024,144.9993,Northern Metropolitan,4019.0,0.0,3,3067.0,258,130.62403100775194,115.26748676824155,28,900,100.0,67.14596478577008
7,Abbotsford,98 Charles St,2,h,1636000.0,S,Nelson,8/10/2016,2.5,3067.0,2.0,1.0,2.0,256.0,107.0,1890.0,Yarra,-37.806,144.9954,Northern Metropolitan,4019.0,2.0,2,3067.0,258,130.62403100775194,115.26748676824155,28,900,100.0,67.14596478577008
8,Abbotsford,6/241 Nicholson St,1,u,300000.0,S,Biggin,8/10/2016,2.5,3067.0,1.0,1.0,1.0,0.0,,1969.0,Yarra,-37.8008,144.9973,Northern Metropolitan,4019.0,1.0,1,3067.0,258,130.62403100775194,115.26748676824155,28,900,100.0,67.14596478577008
9,Abbotsford,10 Valiant St,2,h,1097000.0,S,Biggin,8/10/2016,2.5,3067.0,3.0,1.0,2.0,220.0,75.0,1900.0,Yarra,-37.801,144.9989,Northern Metropolitan,4019.0,2.0,2,3067.0,258,130.62403100775194,115.26748676824155,28,900,100.0,67.14596478577008
